topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
6N8L,SASP,   0.400, 10000.000,   40.000,    6.000,   22.120,    0.000,    0.000,   22.120,    1.380,    8.799,    0.000,    0.193,    0.000,    0.500,    0.000,   67.790,  100.000,   43.183,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,    7.000,   21.600,    0.000,    0.000,   21.600,    1.389,    8.169,    0.000,    0.194,    0.000,    0.500,    0.000,   67.684,  100.000,   42.014,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,    8.000,   21.470,    0.000,    0.000,   21.470,    1.402,    8.111,    0.000,    0.196,    0.000,    0.500,    0.000,   67.608,  100.000,   42.084,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,    9.000,   21.690,    0.000,    0.000,   21.690,    1.381,    7.938,    0.000,    0.190,    0.000,    0.500,    0.000,   68.065,  100.000,   42.417,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   10.000,   22.000,    0.000,    0.000,   22.000,    1.384,    7.776,    0.000,    0.195,    0.000,    0.500,    0.000,   67.774,  100.000,   42.429,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   11.000,   21.750,    0.000,    0.000,   21.750,    1.399,    8.049,    0.000,    0.189,    0.000,    0.500,    0.000,   68.366,  100.000,   42.584,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   12.000,   22.200,    0.000,    0.000,   22.200,    1.363,    7.967,    0.000,    0.191,    0.000,    0.500,    0.000,   67.591,  100.000,   41.528,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   13.000,   21.770,    0.000,    0.000,   21.770,    1.386,    7.903,    0.000,    0.194,    0.000,    0.500,    0.000,   66.628,  100.000,   41.981,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   14.000,   22.380,    0.000,    0.000,   22.380,    1.360,    8.170,    0.000,    0.191,    0.000,    0.500,    0.000,   67.492,  100.000,   41.811,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   15.000,   21.930,    0.000,    0.000,   21.930,    1.395,    8.134,    0.000,    0.194,    0.000,    0.500,    0.000,   67.843,  100.000,   42.260,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   16.000,   21.910,    0.000,    0.000,   21.910,    1.388,    7.745,    0.000,    0.193,    0.000,    0.500,    0.000,   67.391,  100.000,   41.561,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   17.000,   22.420,    0.000,    0.000,   22.420,    1.358,    7.974,    0.000,    0.187,    0.000,    0.500,    0.000,   68.144,  100.000,   42.623,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   18.000,   22.070,    0.000,    0.000,   22.070,    1.372,    7.757,    0.000,    0.189,    0.000,    0.500,    0.000,   68.023,  100.000,   42.586,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   19.000,   21.710,    0.000,    0.000,   21.710,    1.371,    8.518,    0.000,    0.189,    0.000,    0.500,    0.000,   67.834,  100.000,   41.827,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,   20.000,   22.230,    0.000,    0.000,   22.230,    1.364,    7.824,    0.000,    0.195,    0.000,    0.500,    0.000,   67.704,  100.000,   42.727,    0.000

6N8L,SASP,   0.400, 10000.000,   60.000,    1.000,   21.960,    0.000,    0.000,   21.960,    1.373,   11.635,    0.000,    0.188,    0.000,    0.500,    0.000,   67.485,  100.000,   42.094,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,    2.000,   21.620,    0.000,    0.000,   21.620,    1.391,   12.068,    0.000,    0.187,    0.000,    0.500,    0.000,   68.155,  100.000,   43.193,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,    3.000,   21.470,    0.000,    0.000,   21.470,    1.393,   12.022,    0.000,    0.192,    0.000,    0.500,    0.000,   67.553,  100.000,   41.743,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,    4.000,   22.100,    0.000,    0.000,   22.100,    1.364,   12.561,    0.000,    0.196,    0.000,    0.500,    0.000,   66.350,  100.000,   41.741,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,    5.000,   21.980,    0.000,    0.000,   21.980,    1.374,   12.599,    0.000,    0.193,    0.000,    0.500,    0.000,   67.813,  100.000,   43.002,    0.000
