topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,90,0.23,2.5625,13.2,77,23,45,21
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,62,0.29,5.375,14.680851063829786,71,29,47,20
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,62,0.32,1.0,18.31578947368421,68,32,38,29
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,62,0.29,5.375,14.76595744680851,71,29,47,20
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,37,0.38,2.375,13.488372093023257,62,38,43,33
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,37,0.44,1.4375,19.783783783783782,56,44,37,39
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,37,0.44,3.0,16.25,56,44,40,36
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,35,0.45,0.875,14.071428571428571,55,45,28,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,35,0.44,0.625,17.17241379310345,56,44,29,38
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,35,0.46,0.3125,17.6,54,46,25,42
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,9,0.35,3.9375,17.043478260869566,65,35,46,27
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,9,0.33,1.1875,16.318181818181817,67,33,44,29
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,9,0.41,3.0625,17.853658536585368,59,41,41,32
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,65,0.4,4.0625,18.4,60,40,40,25
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,65,0.49,0.625,17.363636363636363,51,49,22,43
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,65,0.4,5.3125,19.105263157894736,60,40,38,27
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,26,0.3,2.0625,15.3,70,30,40,27
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,26,0.4,1.1875,18.4,60,40,30,37
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,26,0.29,1.9375,13.951219512195122,71,29,41,26
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,34,0.34,3.1875,13.736842105263158,66,34,38,26
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,34,0.36,0.8125,15.882352941176471,64,36,34,30
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,34,0.36,2.9375,13.38888888888889,64,36,36,28
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,73,0.41,2.0,14.0,59,41,32,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,73,0.45,0.6875,17.037037037037038,55,45,27,40
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,73,0.42,2.0,14.875,58,42,32,35
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,45,0.45,2.5625,13.11111111111111,55,45,36,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,45,0.39,0.875,15.944444444444445,61,39,36,35
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,45,0.45,2.5625,13.555555555555555,55,45,36,35
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,90,0.33,2.6875,13.368421052631579,67,33,38,28
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,90,0.42,0.75,17.5,58,42,28,38
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,90,0.25,2.8125,13.333333333333334,75,25,45,21
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,4.0,62,0.31,5.625,15.822222222222223,69,31,45,22
