topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    3.000,    2.350,    0.000,    0.000,    7.867,    3.614,   59.423, 50900.000,    0.202,    0.459,    0.035,    0.000,   33.081,   78.376,    1.374,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    4.000,    2.870,    0.000,    0.000,    9.355,    3.628,   60.057, 49530.000,    0.197,    0.454,    0.038,    0.000,   32.683,   78.615,    1.625,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    5.000,    3.130,    0.000,    0.000,   10.185,    3.620,   59.722, 49080.000,    0.200,    0.451,    0.047,    0.000,   33.027,   78.641,    1.991,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    6.000,    2.400,    0.000,    0.000,    8.000,    3.641,   59.776, 48650.000,    0.195,    0.453,    0.040,    0.000,   32.242,   78.693,    1.665,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    7.000,    2.780,    0.000,    0.000,    9.257,    3.621,   60.235, 48940.000,    0.197,    0.455,    0.038,    0.000,   32.535,   78.529,    1.551,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    8.000,    2.600,    0.000,    0.000,    8.570,    3.610,   56.212, 48570.000,    0.195,    0.447,    0.038,    0.000,   32.921,   79.108,    1.685,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    9.000,    2.360,    0.000,    0.000,    7.943,    3.626,   57.294, 49520.000,    0.196,    0.449,    0.038,    0.000,   32.950,   78.826,    1.531,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,   10.000,    2.060,    0.000,    0.000,    6.955,    3.605,   56.803, 50350.000,    0.198,    0.454,    0.033,    0.000,   32.946,   78.472,    1.395,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    1.000,    4.100,    0.025,    0.000,   13.832,    3.626,   64.980, 49720.000,    0.210,    0.458,    0.063,    0.000,   33.309,   78.113,    3.255,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    2.000,    4.440,    0.000,    0.000,   14.795,    3.634,   66.536, 50630.000,    0.217,    0.459,    0.073,    0.000,   34.138,   77.917,    3.767,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    3.000,    4.540,    0.000,    0.000,   15.281,    3.623,   62.501, 50130.000,    0.216,    0.465,    0.066,    0.000,   33.579,   77.588,    3.512,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    4.000,    4.520,    0.000,    0.000,   14.992,    3.637,   68.924, 51120.000,    0.219,    0.465,    0.076,    0.000,   33.888,   77.606,    4.206,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    5.000,    4.100,    0.000,    0.000,   14.138,    3.652,   67.290, 51060.000,    0.217,    0.461,    0.070,    0.000,   34.077,   77.692,    3.716,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    6.000,    4.510,    0.000,    0.000,   14.959,    3.610,   66.895, 49980.000,    0.214,    0.460,    0.069,    0.000,   33.674,   78.013,    3.704,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    7.000,    3.740,    0.000,    0.034,   12.462,    3.624,   67.778, 51160.000,    0.213,    0.461,    0.061,    0.000,   33.756,   77.738,    3.213,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    8.000,    4.210,    0.000,    0.000,   13.840,    3.653,   66.406, 50890.000,    0.217,    0.465,    0.075,    0.000,   33.599,   77.619,    3.842,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,    9.000,    4.570,    0.000,    0.000,   15.008,    3.627,   64.789, 49170.000,    0.211,    0.455,    0.068,    0.000,   33.752,   78.465,    3.622,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  400.000,   10.000,    5.070,    0.000,    0.000,   16.744,    3.652,   68.255, 50410.000,    0.223,    0.466,    0.090,    0.000,   33.845,   77.416,    5.055,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    1.000,    6.790,    0.100,    0.099,   22.581,    3.618,   74.918, 51480.000,    0.236,    0.471,    0.103,    0.000,   34.883,   76.410,    6.442,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    2.000,    6.730,    0.050,    0.034,   22.296,    3.637,   72.188, 52030.000,    0.235,    0.470,    0.100,    0.000,   35.076,   76.675,    6.010,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    3.000,    6.490,    0.050,    0.101,   21.066,    3.597,   72.497, 50970.000,    0.231,    0.470,    0.099,    0.000,   34.283,   76.515,    5.831,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    4.000,    6.030,    0.000,    0.000,   19.927,    3.612,   71.457, 50750.000,    0.232,    0.465,    0.105,    0.000,   34.862,   77.056,    6.036,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    5.000,    6.470,    0.051,    0.033,   21.589,    3.598,   70.014, 51520.000,    0.233,    0.476,    0.098,    0.000,   33.963,   75.914,    5.648,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    6.000,    6.570,    0.202,    0.033,   21.723,    3.636,   71.569, 51290.000,    0.234,    0.474,    0.103,    0.000,   34.436,   76.615,    6.131,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    7.000,    7.620,    0.026,    0.000,   24.407,    3.616,   72.563, 50590.000,    0.235,    0.474,    0.106,    0.000,   34.540,   76.598,    6.379,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    8.000,    7.070,    0.100,    0.098,   23.585,    3.611,   73.687, 51060.000,    0.236,    0.471,    0.104,    0.000,   34.766,   76.537,    6.111,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,    9.000,    6.240,    0.101,    0.000,   20.764,    3.623,   74.791, 51100.000,    0.233,    0.473,    0.102,    0.000,   34.162,   76.358,    6.060,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  450.000,   10.000,    7.010,    0.152,    0.099,   22.778,    3.608,   72.505, 50220.000,    0.232,    0.470,    0.103,    0.000,   34.591,   77.041,    6.156,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    1.000,    8.560,    0.567,    0.528,   28.027,    3.605,   79.072, 52930.000,    0.263,    0.487,    0.147,    0.000,   36.023,   74.689,    9.371,    0.000
